Aquarium [Fountain &amp; Window &amp; Wooden Box] Chapter 1
Bandit Brassard [Clock &amp; Gold Store &amp; Show Window] Chapter 1
Bell Trigger [Fountain &amp; Phone &amp; Tree] Chapter 1
Bomb [Candle &amp; Pot &amp; Weapon Shop Sign] Chapter 1
Bread [Fireplace &amp; Polly's Bakery Sign &amp; Wheat Flour] Chapter 1
Cannon Ball Arm [Manhole &amp; Old-Style Robot &amp; Post] Chapter 1
Cannon Ball Arm II [Constructor &amp; Post &amp; Rock] Chapter 1
Caterpillar [Car &amp; Cart &amp; Wheel] Chapter 1
Clown Body [Cup &amp; Paints &amp; Parasol] Chapter 1
Clown Foot [Clown Robo's Attack &amp; Egg &amp; Scale] Chapter 1
Clown Hand [Clown Robo's Attack &amp; Parasol &amp; Pipe] Chapter 1
Clown Shoes [Cloth &amp; Clown Robo's Attack &amp; Parasol] Chapter 1
Energy Pack (Barrel) [Barrel &amp; Belt &amp; Tree] Chapter 1
Energy Pack [Belt &amp; Milk Can &amp; Pipe] Chapter 1
Gift Capsule [Bone &amp; Letter &amp; Pot] Chapter 1
Grenade Launcher [Chimney &amp; Egg &amp; Fountain] Chapter 1
Iron Leg [Fence &amp; Old-Style Robot &amp; Trashcan] Chapter 1
Knight Boots [Belt &amp; Shield &amp; The Moon] Chapter 1
Lightspeed [Candle &amp; Flower &amp; Rock] Chapter 1
Swan [Boat &amp; Tiny Hammer &amp; Tree] Chapter 1
Tasty Water [Bottle &amp; Fountain &amp; Waterfall] Chapter 1
Trumpet Gun [Fountain &amp; Rapper &amp; Tree] Chapter 1
Work Shoes [Cloth &amp; Constructor &amp; Ladder] Chapter 1
Anti-Petrify Amulet [Clock &amp; Jurak's Eye &amp; Morning Sun] Chapter 2
Barrel Cannon [Barrel &amp; Fountain &amp; Mushroom] Chapter 2
Bone Rapier [Bone &amp; Cloth &amp; Withered Jurak] Chapter 2
Double Pudding [Find the Golden Egg! &amp; Milk Can &amp; Wheat Flour] Chapter 2
Improved Bomb [Candle &amp; Coal &amp; Egg] Chapter 2
Leather Shoes [Chair &amp; Cloth &amp; Gyumo's Yell] Chapter 2
Lure Rod [Fish &amp; Lafrescia Stem &amp; River] Chapter 2
Anti-Curse Amulet [Hmmmm! Jurak &amp; Holy Emblem &amp; Saint's Writings] Chapter 3
Antidote Amulet [Bed &amp; Dell Clinic Sign &amp; Holy Emblem] Chapter 3
Antidote Drink [Bottle &amp; Dell Clinic Sign &amp; Well] Chapter 3
Anti-Goo Amulet [Laundry &amp; Ruler of the Pond &amp; Waterfall] Chapter 3
Barrel Cannon II [Barrel &amp; Fountain &amp; Well] Chapter 3
Bucket Leg [Can &amp; River &amp; Well] Chapter 3
Bucket Pack [Mailbox &amp; Trashcan &amp; Warehouse] Chapter 3
Cannon Ball Arm III [Constructor &amp; Moon Crystal &amp; Post] Chapter 3
Cheese [Cafe Sign &amp; Lao Chao's Trademark &amp; Milk Can] Chapter 3
Clown Hand II [Clown Robo's Attack &amp; Parasol &amp; Scale] Chapter 3
Dragon Shoes [Cloth &amp; Runaway Dragon &amp; Waterfall] Chapter 3
Holy Water [Bottle &amp; Holy Emblem &amp; The Sun] Chapter 3
Machine Gun Arm [Fan &amp; Rifle &amp; Runaway Dragon] Chapter 3
Magic Gun [Fountain &amp; Moon Crystal &amp; The Moon] Chapter 3
Milk Can Body [Chimney &amp; Milk Can &amp; Peeping Pole] Chapter 3
Missile Pod Arm [Mushroom &amp; Rotating Sign &amp; Wooden Box] Chapter 3
Non-Stop Amulet [Clock &amp; Monument &amp; Starglass] Chapter 3
Premium Chicken [Burning Dragon Fire &amp; Pork Dumpling &amp; Special Peking Duck] Chapter 3
Roller Foot [Freight Train &amp; Rotating Sign &amp; Wheel] Chapter 3
Samurai Arm [Barrel &amp; Crescent-Shaped Light &amp; Weapon] Chapter 3
Samurai Body [Cedric's Shop Sign &amp; Crescent-Shaped Light &amp; Telescope] Chapter 3
Sand Breaker [Hand-Sewn Silk Flag &amp; Horn &amp; Spinning Ivanoff] Chapter 3
Smash Wrench [Constructor &amp; Rock &amp; Star Lamp] Chapter 3
Soap [Laundry &amp; Palm Tree &amp; Waterfall] Chapter 3
Spike Boots [Moon Crystal &amp; Parasol &amp; Pumpkin] Chapter 3
Stamina Drink [Bottle &amp; Chinese Lantern &amp; King Mardan] Chapter 3
Star Breaker [Chimney &amp; Fire House &amp; Phantom Memo Eater] Chapter 3
Wise Owl Sword [Charging Ram &amp; Grass &amp; Tree] Chapter 3
Wooden Box Body [Giant Yorda Tree &amp; Hmmmm! Jurak &amp; Wooden Box] Chapter 3
Barrel Cannon III [Barrel &amp; Water Tank &amp; Waterfall] Chapter 4
Buggy [Belt &amp; Car &amp; System 5WP2] Chapter 4
Cannon Ball Arm IV [Constructor &amp; Egg Chair &amp; Rock] Chapter 4
Cleaner Pack [Air Cleaner &amp; Belt &amp; Vacuum] Chapter 4
Clown Hand III [Clown Robo's Attack &amp; Flag &amp; Work Arm] Chapter 4
Cubic Hammer [Dresser &amp; Gold Store &amp; Work Equipment] Chapter 4
Dark Viper [Night Stalker &amp; Puppet Shingala &amp; Rifle] Chapter 4
Drill Arm [Auto Book Reader &amp; Fan &amp; Windmill] Chapter 4
Flamingo [Light of Luna Stone &amp; Palm Tree &amp; Tiny Hammer] Chapter 4
Hammer Arm [Barrel &amp; Post &amp; Work Robot] Chapter 4
Machine Gun Arm II [Fan &amp; Telescope &amp; Windmill] Chapter 4
Missile Pod Arm II [Fountain &amp; Symbol of Luna Lab &amp; Wooden Box] Chapter 4
Multi Feet [Deer Horn &amp; Post &amp; Work Robot] Chapter 4
Propeller Leg [Cart &amp; Fan &amp; Windmill Feather] Chapter 4
Question Shooter [Brave Little Linda &amp; Fountain &amp; Neo-Projector] Chapter 4
Refrigerator Body [Refrigerator &amp; Small Generator &amp; Traffic Light] Chapter 4
Stinger Wrench [Air Cleaner &amp; Pipe &amp; Wheel] Chapter 4
Super-Alloy Body [Gold Store &amp; Search Light &amp; Work Equipment] Chapter 4
Turkey [Special Peking Duck &amp; Tree &amp; Windmill Feather] Chapter 4
Wild Cat [Charging Ram &amp; Rifle &amp; Work Equipment] Chapter 4
Wing Boots [Belt &amp; Weather Vane &amp; Windmill Feather] Chapter 4
Wing Shoes [Cloth &amp; Parasol &amp; Windmill Feather] Chapter 4
Albatross [Fire Squall &amp; Geyser &amp; Tree] Chapter 5
Barrel Cannon IV [Air Cleaner &amp; Barrel &amp; Fire Squall] Chapter 5
Clown Hand IV [Clown Robo's Attack &amp; Paints &amp; Power Arm] Chapter 5
Digi Hammer [Computer &amp; Constructor &amp; Decorative Lights] Chapter 5
Drill Arm II [Electric Sesame &amp; Horn &amp; Work Arm] Chapter 5
Drum Can Body [Chair &amp; Drum Can &amp; Lamp] Chapter 5
Energy Pack (Urn) [Energy Pipe &amp; Generator &amp; Pot] Chapter 5
Escape Powder [Ancient Mural &amp; Elevator &amp; Transmission Device] Chapter 5
Falcon [Hammer &amp; Large Crane &amp; Withered Jurak] Chapter 5
Final Bomb [Candle &amp; Cinders &amp; Oven] Chapter 5
Hammer Arm II [Hammer &amp; Post &amp; Work Arm] Chapter 5
Heavy Hammer [Drum Can &amp; Paznos &amp; Power Arm] Chapter 5
Laser Arm [Barrel &amp; Energy Pipe &amp; Geyser] Chapter 5
Machine Gun Arm III [Propeller &amp; Rifle &amp; Windmill] Chapter 5
Metal Boots [Belt &amp; Drum Can &amp; Work Robot] Chapter 5
Missile Pod Arm III [Deer Horn &amp; Generator &amp; Gold Store] Chapter 5
Nova Cannon [Generator &amp; Rapper &amp; The Sun] Chapter 5
Panther Boots [Bone &amp; The Moon &amp; The Ultimate Gaspard] Chapter 5
Poison Wrench [Deer Horn &amp; Mushroom &amp; Sulfur-Colored Juice] Chapter 5
Ruler's Sword [Figure &amp; Iron Maiden &amp; Paznos] Chapter 5
Samurai Arm II [Runaway Dragon &amp; Weapon &amp; Work Crane] Chapter 5
Soul Breaker [Energy Pipe &amp; Geyser &amp; Transmission Device] Chapter 5
Steal Gun [Book &amp; Fountain &amp; Work Crane] Chapter 5
Sun &amp; Moon Armor [Electric Sesame &amp; The Moon &amp; The Sun] Chapter 5
Drill Arm III [Ixion &amp; Luna Stone Shards &amp; Work Arm] Chapter 6
Hammer Arm III [Chimney &amp; Earth Gem Altar &amp; Hammer] Chapter 6
Laser Arm II [Crescent-Shaped Light &amp; Energy Pipe &amp; Ixion] Chapter 6
Machine Gun Arm IV [Drum Can &amp; Propeller &amp; Wind Gem Altar] Chapter 6
Missile Pod Arm IV [Fire Gem Altar &amp; Gold Store &amp; Mount Gundor] Chapter 6
Nova Cannon II [Fire Gem Altar &amp; Streetlight &amp; The Sun] Chapter 6
Drill Arm IV [Deer Horn &amp; Flower of the Sun &amp; Work Arm] Chapter 7
Hammer Arm IV [Moon Column &amp; Power Arm &amp; Tiny Hammer] Chapter 7
Jet Hover [Candle &amp; Fire House &amp; Relaxation Fountain] Chapter 7
Laser Arm III [Energy Pipe &amp; Relaxation Fountain &amp; Search Light] Chapter 7
Laser Arm IV [Blue Lantern &amp; Energy Pipe &amp; Legend of the Moon] Chapter 7
Level-up Powder [Sun Chair &amp; Sun Table &amp; The Sun] Chapter 7
Nova Cannon III [Moon Column &amp; Stove &amp; The Sun] Chapter 7
Princess Boots [Flower Chandelier &amp; Moon Flower Palace &amp; Waterfall Curtain] Chapter 7
Resurrection Powder [Fruit &amp; Hot Springs Spirit &amp; Lotus Flower] Chapter 7
Ridepod Fuel [Luna Stone Shards &amp; Mud &amp; Stardust Pond] Chapter 7
Samurai Arm III [Deer Horn &amp; Moon Column &amp; Weapon] Chapter 7
Sexy Panther [Elena's Portrait &amp; Flower Bathed in Light &amp; Rifle] Chapter 7
Treasure Chest Key [Golden Door &amp; Labyrinth Door &amp; Sun Chamber Gate Keeper] Chapter 7
Triple-Urn Pack [Flower Chandelier &amp; Light of Luna Stone &amp; Pot] Chapter 7
Twin Buster [Flower Chandelier &amp; Jurak's Nose &amp; Rifle] Chapter 7
Nova Cannon IV [Flotsam Revived! &amp; Pot Torch &amp; The Sun] Chapter 8
Samurai Arm IV [A Surviving Soldier &amp; Flotsam Revived! &amp; Legend of the Moon] Chapter 8
